ID,First Name,Last Name,Position,Worth,Source,Age,Unnamed: 0,Gender,Country,Image
8622,Alexandre,Grendene bartelle,1120.0,2.2 BUSD,Fashion & Retail  ==> shoes,68 years old,1171,M,Brazil,https://specials-images.forbesimg.com/imageserve/58a0f28031358e1a35ab39ff/416x416.jpg?background=000000&cropX1=196&cropX2=478&cropY1=292&cropY2=574
5142,Vinod,Gupta,1121.0,2.2 BUSD,Manufacturing  ==> electrical equipment,72 years old,1172,F,India,https://specials-images.forbesimg.com/imageserve/57dc48144bbe6f6781c51190/416x416.jpg?background=000000&cropX1=24&cropX2=716&cropY1=153&cropY2=846
9700,Torstein,Hagen,1122.0,2.2 BUSD,Service  ==> cruises,75 years old,1173,M,None,https://specials-images.forbesimg.com/imageserve/5a99ba6c31358e79a28ad224/416x416.jpg?background=000000&cropX1=489&cropX2=3188&cropY1=179&cropY2=2880
9023,He,He,1123.0,2.2 BUSD,Service  ==> landscape architecture,52 years old,1174,F,People's Republic of China,https://specials-images.forbesimg.com/imageserve/589cfcd8a7ea431f32192891/416x416.jpg?background=000000&cropX1=92&cropX2=744&cropY1=147&cropY2=800
5201,Hans-werner,Hector,1124.0,2.2 BUSD,Technology  ==> SAP,78 years old,1175,Male,None,https://specials-images.forbesimg.com/imageserve/5a7e15ec31358e4955ad1042/416x416.jpg?background=000000&cropX1=317&cropX2=1248&cropY1=121&cropY2=1053
1815,Stanley,Hubbard,1125.0,2.2 BUSD,Media & Entertainment  ==> DirecTV,85 years old,1176,Male,None,https://specials-images.forbesimg.com/imageserve/59de6c0f4bbe6f37dda056b5/416x416.jpg?background=000000&cropX1=334&cropX2=743&cropY1=161&cropY2=570
1246,Ke,Ke,1126.0,2.2 BUSD,Diversified  ==> investments,58 years old,1177,None,China,https://specials-images.forbesimg.com/imageserve/56292849e4b0ffa7afe6288d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=6&cropY2=750
7323,Suna,Kirac,1127.0,2.2 BUSD,Diversified  ==> diversified,77 years old,1178,F,None,https://specials-images.forbesimg.com/imageserve/fe7bd4a88f7182c8343ea40c37bb3711/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=79&cropY2=823
8018,Kong,Kong,1128.0,2.2 BUSD,Real Estate  ==> real estate,50 years old,1179,Male,None,https://specials-images.forbesimg.com/imageserve/58a658d831358e1a35ab8d3a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754
9347,Koo,Koo,1129.0,2.2 BUSD,Diversified  ==> Diversified,73 years old,1180,M,None,https://specials-images.forbesimg.com/imageserve/5a8104694bbe6f2652f5445a/416x416.jpg?background=000000&cropX1=1026&cropX2=3498&cropY1=384&cropY2=2853
8219,Heikki,Kyostila,1130.0,2.2 BUSD,Healthcare  ==> dental products,72 years old,1181,M,Finland,https://specials-images.forbesimg.com/imageserve/58c70b80a7ea431f321b0d52/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
6199,Thomas,Lee,1131.0,2.2 BUSD,Finance and Investments  ==> private equity,74 years old,1182,M,None,https://specials-images.forbesimg.com/imageserve/55fb08f5e4b0ffa7afe4b3f6/416x416.jpg?background=000000&cropX1=97&cropX2=641&cropY1=44&cropY2=589
6487,Eric,Lefkofsky,1132.0,2.2 BUSD,Technology  ==> Groupon,48 years old,1183,None,United States,https://specials-images.forbesimg.com/imageserve/5aabd0b94bbe6f0fa8287d8a/416x416.jpg?background=000000&cropX1=1983&cropX2=5067&cropY1=87&cropY2=3173
4257,Peter,Lim,1133.0,2.2 BUSD,Finance and Investments  ==> investments,65 years old,1184,M,None,https://specials-images.forbesimg.com/imageserve/5a80f0caa7ea431690133ec9/416x416.jpg?background=000000&cropX1=238&cropX2=1550&cropY1=5&cropY2=1319
2368,Scott,Lin,1134.0,2.2 BUSD,Technology  ==> optical components,,1185,M,None,https://specials-images.forbesimg.com/imageserve/b145b98dfd868aba1fd104d573032733/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=211&cropY2=955
9400,Tomas,Olivo lopez,1135.0,2.2 BUSD,Real Estate  ==> shopping centers,44 years old,1186,M,None,https://specials-images.forbesimg.com/imageserve/5a8115e1a7ea43169013404b/416x416.jpg?background=000000&cropX1=714&cropX2=1463&cropY1=120&cropY2=868
5909,Phillip,Ragon,1136.0,2.2 BUSD,Technology  ==> health IT,69 years old,1187,M,None,https://specials-images.forbesimg.com/imageserve/12cec189312ff7ec643365d00e008b56/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=77&cropY2=821
4005,Stewart,Rahr,1137.0,2.2 BUSD,Healthcare  ==> drug distribution,72 years old,1188,None,United States,https://specials-images.forbesimg.com/imageserve/55fb106ae4b0ffa7afe4b438/416x416.jpg?background=000000&cropX1=151&cropX2=670&cropY1=73&cropY2=592
2673,T.,Sanford,1138.0,2.2 BUSD,"Finance and Investments  ==> banking, credit cards",82 years old,1189,None,United States,https://specials-images.forbesimg.com/imageserve/57e33e9ea7ea430a8a1a1b41/416x416.jpg?background=000000&cropX1=13&cropX2=683&cropY1=73&cropY2=743
4280,Julio,Santo domingo,1139.0,2.2 BUSD,Food and Beverage  ==> beer,1986,1190,M,None,https://specials-images.forbesimg.com/imageserve/57e17c6ba7ea430a8a1a0cab/416x416.jpg?background=000000&cropX1=60&cropX2=715&cropY1=8&cropY2=664
5738,Karl,Scheufele,1140.0,2.2 BUSD,Fashion & Retail  ==> jewelry,79 years old,1191,M,Switzerland,https://specials-images.forbesimg.com/imageserve/5a81279e31358e4955ad3121/416x416.jpg?background=000000&cropX1=35&cropX2=1136&cropY1=90&cropY2=1192
4969,Shen,Shen,1141.0,2.2 BUSD,Fashion & Retail  ==> retail,55 years old,1192,M,None,https://specials-images.forbesimg.com/imageserve/5a7cec0b31358e4955acfc0e/416x416.jpg?background=000000&cropX1=484&cropX2=1908&cropY1=142&cropY2=1566
4554,Alain,Taravella,1142.0,2.2 BUSD,Real Estate  ==> real estate,70 years old,1193,M,None,https://specials-images.forbesimg.com/imageserve/56c7be16e4b062f6b59a23d1/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
4941,Oleg,Tinkov,1143.0,2.2 BUSD,Finance and Investments  ==> banking,50 years old,1194,Male,Russia,https://specials-images.forbesimg.com/imageserve/5a80aef631358e4955ad2ba1/416x416.jpg?background=000000&cropX1=611&cropX2=3329&cropY1=18&cropY2=2734
8855,T.y.,Tsai,1144.0,2.2 BUSD,Finance and Investments  ==> finance,,1195,Male,None,https://specials-images.forbesimg.com/imageserve/57768767a7ea436bd18c0d1e/416x416.jpg?background=000000&cropX1=116&cropX2=696&cropY1=3&cropY2=583
1662,Tung,Tung,1145.0,2.2 BUSD,Logistics  ==> shipping,81 years old,1196,M,Hong Kong,https://specials-images.forbesimg.com/imageserve/57768767a7ea436bd18c0d1e/416x416.jpg?background=000000&cropX1=116&cropX2=696&cropY1=3&cropY2=583
7704,Ted,Turner,1146.0,2.2 BUSD,Media & Entertainment  ==> cable television,79 years old,1197,M,United States,https://specials-images.forbesimg.com/imageserve/5a8dfcaa4bbe6f2652f62ce6/416x416.jpg?background=000000&cropX1=527&cropX2=1496&cropY1=180&cropY2=1148
1748,Sunil,Vaswani,1147.0,2.2 BUSD,Diversified  ==> diversified,54 years old,1198,Male,None,https://specials-images.forbesimg.com/imageserve/5602cdb6e4b0ffa7afe4f94a/416x416.jpg?background=000000&cropX1=2&cropX2=744&cropY1=3&cropY2=746
6010,Jitendra,Virwani,1148.0,2.2 BUSD,Real Estate  ==> real estate,52 years old,1199,M,None,https://specials-images.forbesimg.com/imageserve/59cc144ea7ea434a34f46ccd/416x416.jpg?background=000000&cropX1=626&cropX2=3974&cropY1=0&cropY2=3346
7140,Lang,Walker,1149.0,2.2 BUSD,Real Estate  ==> real estate,72 years old,1200,M,None,https://specials-images.forbesimg.com/imageserve/56c60829e4b062f6b59a0b50/416x416.jpg?background=000000&cropX1=55&cropX2=718&cropY1=174&cropY2=838
5824,Wu,Wu,1150.0,2.2 BUSD,Food and Beverage  ==> bakery chain,83 years old,1201,M,People's Republic of China,https://specials-images.forbesimg.com/imageserve/56c60829e4b062f6b59a0b50/416x416.jpg?background=000000&cropX1=55&cropX2=718&cropY1=174&cropY2=838
5442,Xiao,Xiao,1151.0,2.2 BUSD,Media & Entertainment  ==> entertainment,51 years old,1202,M,China,https://specials-images.forbesimg.com/imageserve/b503b236a2b585fd51be8e054fcf03b3/416x416.jpg?background=000000&cropX1=127&cropX2=739&cropY1=124&cropY2=736
4279,Xiong,Xiong,1152.0,2.2 BUSD,Real Estate  ==> real estate,61 years old,1203,M,None,https://specials-images.forbesimg.com/imageserve/6ce9fb50a8c04c7a7738cc48510c1582/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=208&cropY2=952
4587,Takao,Yasuda,1153.0,2.2 BUSD,Fashion & Retail  ==> retail,69 years old,1204,M,None,https://specials-images.forbesimg.com/imageserve/17575027bdc253768c3f5179976023df/416x416.jpg?background=000000&cropX1=93&cropX2=716&cropY1=13&cropY2=637
5907,William,Young,1154.0,2.2 BUSD,Manufacturing  ==> plastics,77 years old,1205,None,None,https://specials-images.forbesimg.com/imageserve/17575027bdc253768c3f5179976023df/416x416.jpg?background=000000&cropX1=93&cropX2=716&cropY1=13&cropY2=637
3168,Eddie,Zakay,1155.0,2.2 BUSD,Real Estate  ==> Real Estate,,1206,None,UK,https://specials-images.forbesimg.com/imageserve/5a70f2234bbe6f2652f40dcb/416x416.jpg?background=000000&cropX1=38&cropX2=390&cropY1=0&cropY2=352
5000,Zhang,Zhang,1156.0,2.2 BUSD,Automotive  ==> automobiles,57 years old,1207,Male,China,https://specials-images.forbesimg.com/imageserve/589f2ba431358e1a35ab26e5/416x416.jpg?background=000000&cropX1=3&cropX2=689&cropY1=2&cropY2=688
9245,Leslie,Alexander,1157.0,2.1 BUSD,Sports  ==> sports team,74 years old,1208,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8dfe1ca7ea4316901410b1/416x416.jpg?background=000000&cropX1=421&cropX2=1325&cropY1=298&cropY2=1202
9626,Patricia,Angelini rossi,1158.0,2.1 BUSD,"Diversified  ==> forestry, mining",64 years old,1209,None,None,https://specials-images.forbesimg.com/imageserve/5a6759cca7ea4316901185ea/416x416.jpg?background=000000&cropX1=200&cropX2=770&cropY1=42&cropY2=612
8992,Josef,Boquoi,1159.0,2.1 BUSD,Food and Beverage  ==> frozen foods,84 years old,1210,Male,None,https://specials-images.forbesimg.com/imageserve/5a6759cca7ea4316901185ea/416x416.jpg?background=000000&cropX1=200&cropX2=770&cropY1=42&cropY2=612
2618,Nikolai,Buinov,1160.0,2.1 BUSD,"Energy  ==> oil, gas",50 years old,1211,M,None,https://specials-images.forbesimg.com/imageserve/58a268b24bbe6f0e5586ba78/416x416.jpg?background=000000&cropX1=81&cropX2=637&cropY1=193&cropY2=749
5696,Richard,Chandler,1161.0,2.1 BUSD,Finance and Investments  ==> investments,59 years old,1212,M,None,https://specials-images.forbesimg.com/imageserve/5a6f911831358e4955abf07e/416x416.jpg?background=000000&cropX1=120&cropX2=400&cropY1=0&cropY2=280
