Position,First Name,Last Name,Age,Worth,Gender_cat,Source,Country,Image
918,Frank,Vandersloot,69,2.7 BUSD,Male,Fashion & Retail  ==> nutrition and wellness products,United States,https://specials-images.forbesimg.com/imageserve/5b06f4904bbe6f74868a643b/416x416.jpg?background=000000&cropX1=780&cropX2=2482&cropY1=549&cropY2=2250
919,Sandro,Veronesi,58,2.7 BUSD,Male,Fashion & Retail  ==> fashion,Italy,https://specials-images.forbesimg.com/imageserve/5a7f9f624bbe6f2652f533f6/416x416.jpg?background=000000&cropX1=458&cropX2=3372&cropY1=8&cropY2=2923
920,Ty,Warner,73,2.7 BUSD,Male,"Real Estate  ==> real estate, plush toys",USA,https://specials-images.forbesimg.com/imageserve/8ee60287ddfbb68f562a1f22fb88f721/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=27&cropY2=771
921,Oprah,Winfrey,64,2.7 BUSD,Not Available,Media & Entertainment  ==> TV shows,United States,https://specials-images.forbesimg.com/imageserve/5a8ddd184bbe6f2652f62885/416x416.jpg?background=000000&cropX1=968&cropX2=1722&cropY1=150&cropY2=904
922,Zhang,Zhang,56,2.7 BUSD,Male,Fashion & Retail  ==> Retail,China,https://specials-images.forbesimg.com/imageserve/5a7d249b4bbe6f2652f51279/416x416.jpg?background=000000&cropX1=0&cropX2=1146&cropY1=89&cropY2=1235
923,Zuo,Zuo,47,2.7 BUSD,Male,Real Estate  ==> real estate services,China,https://specials-images.forbesimg.com/imageserve/5a7d2a69a7ea431690130f2b/416x416.jpg?background=000000&cropX1=1155&cropX2=3526&cropY1=359&cropY2=2729
924,Juan,Abello,76,2.6 BUSD,Not Available,Finance and Investments  ==> investments,Spain,https://specials-images.forbesimg.com/imageserve/5a8112d64bbe6f2652f544ce/416x416.jpg?background=000000&cropX1=182&cropX2=1659&cropY1=82&cropY2=1560
925,Semahat,Arsel,89,2.6 BUSD,Not Available,Diversified  ==> diversified,Turkey,https://specials-images.forbesimg.com/imageserve/58a3b0aba7ea431f321986f0/416x416.jpg?background=000000&cropX1=2&cropX2=616&cropY1=3&cropY2=617
926,Bang,Bang,50,2.6 BUSD,Male,Technology  ==> online gaming,South Korea,https://specials-images.forbesimg.com/imageserve/58a085814bbe6f0e5586979f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=44&cropY2=788
927,Koos,Bekker,65,2.6 BUSD,Male,"Media & Entertainment  ==> media, investments",South Africa,https://specials-images.forbesimg.com/imageserve/5a80fc20a7ea431690133f21/416x416.jpg?background=000000&cropX1=86&cropX2=1400&cropY1=228&cropY2=1541
928,David,Bonderman,75,2.6 BUSD,Not Available,Finance and Investments  ==> private equity,United States,https://specials-images.forbesimg.com/imageserve/5a8df1f8a7ea431690140f4c/416x416.jpg?background=000000&cropX1=1738&cropX2=5324&cropY1=219&cropY2=3806
929,Francesco,Caltagirone,75,2.6 BUSD,Male,"Construction & Engineering  ==> cement, diversified",Italy,https://specials-images.forbesimg.com/imageserve/5a7f8d56a7ea431690132e6a/416x416.jpg?background=000000&cropX1=489&cropX2=2169&cropY1=103&cropY2=1784
930,John,Caudwell,65,2.6 BUSD,Male,Telecom  ==> mobile phones,UK,https://specials-images.forbesimg.com/imageserve/5a815cb4a7ea4316901342a8/416x416.jpg?background=000000&cropX1=1211&cropX2=3817&cropY1=17&cropY2=2620
931,Chen,Chen,57,2.6 BUSD,Male,Finance and Investments  ==> investments,China,https://specials-images.forbesimg.com/imageserve/9c4a0c1973e27328429243fc03202ab6/416x416.jpg?background=000000&cropX1=144&cropX2=839&cropY1=103&cropY2=798
932,Chung,Chung,47,2.6 BUSD,Male,Logistics  ==> logistics,South Korea,https://specials-images.forbesimg.com/imageserve/5b15a8ec31358e612fbb1da5/416x416.jpg?background=000000&cropX1=5&cropX2=1245&cropY1=12&cropY2=1252
933,Isabel,Dos santos,45,2.6 BUSD,Female,Finance and Investments  ==> investments,Angola,https://specials-images.forbesimg.com/imageserve/5a7a22cd31358e4955acc3ab/416x416.jpg?background=000000&cropX1=72&cropX2=1117&cropY1=67&cropY2=1112
934,Fong,Fong,93,2.6 BUSD,Not Available,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/589f601fa7ea431f32194b92/416x416.jpg?background=000000&cropX1=13&cropX2=693&cropY1=23&cropY2=703
935,Phillip,Frost,81,2.6 BUSD,Male,Healthcare  ==> pharmaceuticals,USA,https://specials-images.forbesimg.com/imageserve/59dbe880a7ea436b47b39f42/416x416.jpg?background=000000&cropX1=944&cropX2=2068&cropY1=1729&cropY2=2854
936,Lutz,Helmig,71,2.6 BUSD,Male,Healthcare  ==> hospitals,Germany,https://specials-images.forbesimg.com/imageserve/e110a73c4f298ef871daa703a5b685c9/416x416.jpg?background=000000&cropX1=50&cropX2=744&cropY1=48&cropY2=743
937,B.,Hughes,84,2.6 BUSD,Male,Service  ==> self storage,United States,https://specials-images.forbesimg.com/imageserve/57e11ce9a7ea430a8a1a093c/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=56&cropY2=800
938,Daniel,Kretinsky,42,2.6 BUSD,Male,Energy  ==> energy generation,Czech Republic,https://specials-images.forbesimg.com/imageserve/5a7dd3b3a7ea431690131739/416x416.jpg?background=000000&cropX1=3&cropX2=1180&cropY1=3&cropY2=1179
939,Raj,Kumar & kishin rk,64,2.6 BUSD,Male,Real Estate  ==> real estate,Singapore,https://specials-images.forbesimg.com/imageserve/55a5909fe4b05c2c3431eb38/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=45&cropY2=789
940,Lam,Lam,54,2.6 BUSD,Male,Healthcare  ==> pharmaceuticals,China,https://specials-images.forbesimg.com/imageserve/18557d61bfcbfb0783aebace2f7f4d6b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
941,Lau,Lau,82,2.6 BUSD,Male,"Diversified  ==> palm oil, property",Malaysia,https://specials-images.forbesimg.com/imageserve/9df85ae102a0eade7bcc88d895cae857/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=232&cropY2=976
942,Stephen,Mandel,62,2.6 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/9df85ae102a0eade7bcc88d895cae857/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=232&cropY2=976
943,Gilles,Martin,54,2.6 BUSD,Not Available,Healthcare  ==> laboratory services,France,https://specials-images.forbesimg.com/imageserve/5a7df101a7ea431690131bb5/416x416.jpg?background=000000&cropX1=675&cropX2=3508&cropY1=0&cropY2=2832
944,Daniel,Mate,55,2.6 BUSD,Male,"Metals & Mining  ==> mining, commodities",Spain,https://specials-images.forbesimg.com/imageserve/5a7df101a7ea431690131bb5/416x416.jpg?background=000000&cropX1=675&cropX2=3508&cropY1=0&cropY2=2832
945,Robert,Miller,72,2.6 BUSD,Male,Technology  ==> electronics components,Canada,https://specials-images.forbesimg.com/imageserve/ed24ab436c3c663da00f7fb579f7b55b/416x416.jpg?background=000000&cropX1=113&cropX2=607&cropY1=44&cropY2=539
946,Jorge,Moll filho,73,2.6 BUSD,Male,Healthcare  ==> hospitals,Brazil,https://specials-images.forbesimg.com/imageserve/ed24ab436c3c663da00f7fb579f7b55b/416x416.jpg?background=000000&cropX1=113&cropX2=607&cropY1=44&cropY2=539
947,Maria,Moraes scripilliti,87,2.6 BUSD,Not Available,Diversified  ==> diversified,Brazil,https://specials-images.forbesimg.com/imageserve/ed24ab436c3c663da00f7fb579f7b55b/416x416.jpg?background=000000&cropX1=113&cropX2=607&cropY1=44&cropY2=539
948,Sean,Parker,38,2.6 BUSD,Male,Technology  ==> Facebook,United States,https://specials-images.forbesimg.com/imageserve/5a8df498a7ea431690140fbb/416x416.jpg?background=000000&cropX1=1328&cropX2=2656&cropY1=38&cropY2=1365
949,Jay,Paul,70,2.6 BUSD,Male,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/59dd83b94bbe6f37dda04c50/416x416.jpg?background=000000&cropX1=662&cropX2=1523&cropY1=75&cropY2=936
950,Patrick,Ryan,81,2.6 BUSD,Male,Finance and Investments  ==> insurance,United States,https://specials-images.forbesimg.com/imageserve/59dd797ea7ea436b47b3af17/416x416.jpg?background=000000&cropX1=491&cropX2=1265&cropY1=346&cropY2=1120
951,Thomas,Secunda,64,2.6 BUSD,Male,Media & Entertainment  ==> Bloomberg LP,United States,https://specials-images.forbesimg.com/imageserve/5a8dfac04bbe6f2652f62cac/416x416.jpg?background=000000&cropX1=99&cropX2=3161&cropY1=120&cropY2=3182
952,Shen,Shen,72,2.6 BUSD,Male,Metals & Mining  ==> steel production,China,https://specials-images.forbesimg.com/imageserve/5a7cec5ba7ea431690130cd9/416x416.jpg?background=000000&cropX1=14&cropX2=2681&cropY1=542&cropY2=3207
953,Shen,Shen,59,2.6 BUSD,Not Available,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/5a7cec5ba7ea431690130cd9/416x416.jpg?background=000000&cropX1=14&cropX2=2681&cropY1=542&cropY2=3207
954,Gil,Shwed,50,2.6 BUSD,Male,Technology  ==> software,Israel,https://specials-images.forbesimg.com/imageserve/5a7f7bc831358e4955ad1d28/416x416.jpg?background=000000&cropX1=461&cropX2=3244&cropY1=867&cropY2=3648
955,Song,Song,71,2.6 BUSD,Male,"Diversified  ==> aluminum, diversified",China,https://specials-images.forbesimg.com/imageserve/75720eea78ab6bb082b46a10cf4bce3a/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744
956,Warren,Stephens,61,2.6 BUSD,Male,Finance and Investments  ==> investment banking,United States,https://specials-images.forbesimg.com/imageserve/57e181034bbe6f6781c52e18/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791
957,Glen,Taylor,77,2.6 BUSD,Male,Service  ==> printing,United States,https://specials-images.forbesimg.com/imageserve/5a8df2c231358e4955adfefd/416x416.jpg?background=000000&cropX1=1023&cropX2=2317&cropY1=634&cropY2=1928
958,Hanni,Toosbuy kasprzak,60,2.6 BUSD,Female,Fashion & Retail  ==> shoes,Denmark,https://specials-images.forbesimg.com/imageserve/a6b37a8107ed0b10bf13af3721a83eca/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=35&cropY2=779
959,Torbjorn,Tornqvist,64,2.6 BUSD,Male,Energy  ==> oil trading,Sweden,https://specials-images.forbesimg.com/imageserve/5a81228631358e4955ad30ff/416x416.jpg?background=000000&cropX1=0&cropX2=1521&cropY1=111&cropY2=1632
960,Bulat,Utemuratov,60,2.6 BUSD,Male,"Metals & Mining  ==> mining, banking, hotels",Kazakhstan,https://specials-images.forbesimg.com/imageserve/7478ed00143e0760ef810f854cb9061c/416x416.jpg?background=000000&cropX1=3&cropX2=357&cropY1=4&cropY2=358
961,Chip,Wilson,61,2.6 BUSD,Male,Fashion & Retail  ==> Lululemon,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba50a4bbe6f2652f4f2b9/416x416.jpg?background=000000&cropX1=729&cropX2=2100&cropY1=167&cropY2=1540
962,Jerry,Yang,49,2.6 BUSD,Male,Technology  ==> Yahoo,United States,https://specials-images.forbesimg.com/imageserve/59dd8e324bbe6f37dda04cd3/416x416.jpg?background=000000&cropX1=1392&cropX2=2949&cropY1=418&cropY2=1975
963,Zhang,Zhang,52,2.6 BUSD,Male,Technology  ==> touch screens,China,https://specials-images.forbesimg.com/imageserve/59dd8e324bbe6f37dda04cd3/416x416.jpg?background=000000&cropX1=1392&cropX2=2949&cropY1=418&cropY2=1975
964,Zhu,Zhu,59,2.6 BUSD,Male,Construction & Engineering  ==> construction,China,https://specials-images.forbesimg.com/imageserve/f893b3ba5dfb8226119a6f70602a1477/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=121&cropY2=865
965,Ramon,Ang,64,2.5 BUSD,Not Available,Food and Beverage  ==> Diversified,Philippines,https://specials-images.forbesimg.com/imageserve/58a07315a7ea431f321954f5/416x416.jpg?background=000000&cropX1=31&cropX2=744&cropY1=298&cropY2=1012
966,Edward,Bass,72,2.5 BUSD,Male,"Energy  ==> oil, investments",United States,https://specials-images.forbesimg.com/imageserve/97183a893c8331aaff70787ed63acba2/416x416.jpg?background=000000&cropX1=365&cropX2=1589&cropY1=265&cropY2=1490
967,Lee,Bass,62,2.5 BUSD,Not Available,"Energy  ==> oil, investments",United States,https:http://specials-images.forbesimg.com/imageserve/db064336a2edd9c66daa21ddc22a8695/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=24&cropY2=768
968,Bert,Beveridge,56,2.5 BUSD,Male,Food and Beverage  ==> vodka,United States,https://specials-images.forbesimg.com/imageserve/59dfbb6c4bbe6f37dda06543/416x416.jpg?background=000000&cropX1=767&cropX2=1418&cropY1=488&cropY2=1139
969,George,Bishop,80,2.5 BUSD,Male,Energy  ==> oil & gas,USA,https://specials-images.forbesimg.com/imageserve/59dfbb6c4bbe6f37dda06543/416x416.jpg?background=000000&cropX1=767&cropX2=1418&cropY1=488&cropY2=1139
970,Jaime,Botin,82,2.5 BUSD,Male,Finance and Investments  ==> banking,Spain,https://specials-images.forbesimg.com/imageserve/56cc1d3de4b062f6b59a4f55/416x416.jpg?background=000000&cropX1=2&cropX2=723&cropY1=5&cropY2=727
971,Norman,Braman,85,2.5 BUSD,Male,"Automotive  ==> art, car dealerships",United States,https://specials-images.forbesimg.com/imageserve/5a8df43aa7ea431690140faa/416x416.jpg?background=000000&cropX1=390&cropX2=1692&cropY1=287&cropY2=1590
972,Chin,Chin,60,2.5 BUSD,Not Available,Automotive  ==> auto parts,Taiwan,https://specials-images.forbesimg.com/imageserve/616b2ced58bbf2fb6c4460422d7af827/416x416.jpg?background=000000&cropX1=6&cropX2=744&cropY1=60&cropY2=798
973,Cho,Cho,72,2.5 BUSD,Male,Manufacturing  ==> auto parts,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6847a7ea431690132502/416x416.jpg?background=000000&cropX1=339&cropX2=1769&cropY1=0&cropY2=1429
974,John,Coates,48,2.5 BUSD,Male,Gambling & Casinos  ==> online gambling,United Kingdom,https://specials-images.forbesimg.com/imageserve/5ab130dba7ea434a0c294b2e/416x416.jpg?background=000000&cropX1=696&cropX2=2026&cropY1=691&cropY2=2021
975,Du,Du,48,2.5 BUSD,Male,Manufacturing  ==> chemicals,China,https://specials-images.forbesimg.com/imageserve/562029ede4b0ffa7afe5eb62/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=58&cropY2=802
976,Aloysio,Faria,97,2.5 BUSD,Male,Finance and Investments  ==> banking,Brazil,https://specials-images.forbesimg.com/imageserve/58a655e331358e1a35ab8d1a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784
977,Kenneth,Feld,69,2.5 BUSD,Male,"Media & Entertainment  ==> circus, live entertainment",USA,https://specials-images.forbesimg.com/imageserve/59dd88d1a7ea436b47b3af5f/416x416.jpg?background=000000&cropX1=348&cropX2=1508&cropY1=208&cropY2=1367
978,Luca,Garavoglia,49,2.5 BUSD,Male,Food and Beverage  ==> spirits,Italy,https://specials-images.forbesimg.com/imageserve/5a7f962331358e4955ad1e47/416x416.jpg?background=000000&cropX1=171&cropX2=1440&cropY1=206&cropY2=1475
979,Noam,Gottesman,57,2.5 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/57e1835731358e16c589bfad/416x416.jpg?background=000000&cropX1=40&cropX2=741&cropY1=11&cropY2=712
980,Jonathan,Gray,48,2.5 BUSD,Male,Finance and Investments  ==> investments,United States,https://specials-images.forbesimg.com/imageserve/5a8df39a4bbe6f2652f62c05/416x416.jpg?background=000000&cropX1=1359&cropX2=2340&cropY1=428&cropY2=1409
981,Stein,Hagen,61,2.5 BUSD,Male,Fashion & Retail  ==> consumer goods,Norway,https://specials-images.forbesimg.com/imageserve/5a7fdf2b31358e4955ad22cd/416x416.jpg?background=000000&cropX1=1770&cropX2=4063&cropY1=12&cropY2=2304
982,Chang-woo,Han,87,2.5 BUSD,Male,Gambling & Casinos  ==> pachinko parlors,Japan,https://specials-images.forbesimg.com/imageserve/78fb1fa189e0d8396577f225bb3d720e/416x416.jpg?background=000000&cropX1=21&cropX2=744&cropY1=68&cropY2=792
983,John,Henry,68,2.5 BUSD,Male,Sports  ==> sports,United States,https://specials-images.forbesimg.com/imageserve/59dd8b2d4bbe6f37dda04c83/416x416.jpg?background=000000&cropX1=840&cropX2=2623&cropY1=73&cropY2=1857
984,Lawrence,Ho,41,2.5 BUSD,Male,Gambling & Casinos  ==> casinos,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e6d914bbe6f2652f52a79/416x416.jpg?background=000000&cropX1=686&cropX2=3355&cropY1=6&cropY2=2672
985,Hui,Hui,65,2.5 BUSD,Male,Manufacturing  ==> hygiene products,China,https://specials-images.forbesimg.com/imageserve/5a7cbadc31358e4955acf7c0/416x416.jpg?background=000000&cropX1=632&cropX2=3041&cropY1=5&cropY2=2412
986,Mustafa,Koc,87,2.5 BUSD,Male,Diversified  ==> diversified,Turkey,https://specials-images.forbesimg.com/imageserve/56cc5097e4b062f6b59a505c/416x416.jpg?background=000000&cropX1=2&cropX2=738&cropY1=95&cropY2=831
987,Kuan,Kuan,70,2.5 BUSD,Not Available,Manufacturing  ==> synthetic gloves,Malaysia,https://specials-images.forbesimg.com/imageserve/5a95536831358e79a28a60dc/416x416.jpg?background=000000&cropX1=0&cropX2=1300&cropY1=209&cropY2=1508
988,Jane,Lauder,45,2.5 BUSD,Not Available,Fashion & Retail  ==> cosmetics,United States,https://specials-images.forbesimg.com/imageserve/59de7da7a7ea436b47b3b8f5/416x416.jpg?background=000000&cropX1=514&cropX2=1474&cropY1=227&cropY2=1187
989,Aerin,Lauder zinterhofer,48,2.5 BUSD,Female,Fashion & Retail  ==> cosmetics,United States,https://specials-images.forbesimg.com/imageserve/5a8dfb6231358e4955adffff/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=296&cropY2=2297
990,Maritsa,Lazari,73,2.5 BUSD,Female,Real Estate  ==> real estate,United Kingdom,https://specials-images.forbesimg.com/imageserve/5a8dfb6231358e4955adffff/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=296&cropY2=2297
991,Bernard,Lewis,92,2.5 BUSD,Not Available,Fashion & Retail  ==> fashion retailer,United Kingdom,https://specials-images.forbesimg.com/imageserve/58a0b0ea31358e1a35ab3776/416x416.jpg?background=000000&cropX1=10&cropX2=648&cropY1=47&cropY2=685
992,Vincent,Lo,69,2.5 BUSD,Male,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a7e77d0a7ea43169013258e/416x416.jpg?background=000000&cropX1=394&cropX2=3051&cropY1=11&cropY2=2667
993,Jeffrey,Lorberbaum,63,2.5 BUSD,Male,Manufacturing  ==> flooring,United States,https:http://specials-images.forbesimg.com/imageserve/a5191b847bd677e5f6bd8591568872c4/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=300&cropY2=1044
994,Joe,Mansueto,61,2.5 BUSD,Male,Finance and Investments  ==> investment research,United States,https://specials-images.forbesimg.com/imageserve/59de4003a7ea436b47b3b50e/416x416.jpg?background=000000&cropX1=835&cropX2=3191&cropY1=238&cropY2=2592
995,Jose,Marinho,62,2.5 BUSD,Not Available,Media & Entertainment  ==> media,Brazil,https://specials-images.forbesimg.com/imageserve/59de4003a7ea436b47b3b50e/416x416.jpg?background=000000&cropX1=835&cropX2=3191&cropY1=238&cropY2=2592
996,Roberto,Marinho,70,2.5 BUSD,Male,Media & Entertainment  ==> media,Brazil,https://specials-images.forbesimg.com/imageserve/5a7b9864a7ea43169012f0e8/416x416.jpg?background=000000&cropX1=4&cropX2=2378&cropY1=86&cropY2=2460
997,C.,Metropoulos,72,2.5 BUSD,Male,Food and Beverage  ==> investments,United States,https://specials-images.forbesimg.com/imageserve/58c3faf5fc4965181f190d24fe507787/416x416.jpg?background=000000&cropX1=216&cropX2=643&cropY1=87&cropY2=514
998,Aristotelis,Mistakidis,56,2.5 BUSD,Male,"Metals & Mining  ==> mining, commodities",Greece,https://specials-images.forbesimg.com/imageserve/58c3faf5fc4965181f190d24fe507787/416x416.jpg?background=000000&cropX1=216&cropX2=643&cropY1=87&cropY2=514
999,Arturo,Moreno,71,2.5 BUSD,Male,"Sports  ==> billboards, Anaheim Angels",United States,https://specials-images.forbesimg.com/imageserve/59dd8c2731358e542c0394c7/416x416.jpg?background=000000&cropX1=106&cropX2=2610&cropY1=330&cropY2=2836
1000,Yoshiko,Mori,77,2.5 BUSD,Female,Real Estate  ==> real estate,Japan,https://specials-images.forbesimg.com/imageserve/5a7fbae14bbe6f2652f53548/416x416.jpg?background=000000&cropX1=183&cropX2=2989&cropY1=211&cropY2=3017
1001,Adam,Neumann,39,2.5 BUSD,Male,Real Estate  ==> WeWork,Israel,https://specials-images.forbesimg.com/imageserve/59161463a7ea434078d3f359/416x416.jpg?background=000000&cropX1=124&cropX2=2510&cropY1=481&cropY2=2868
1002,Or,Or,67,2.5 BUSD,Not Available,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5877c684a7ea431d601ca180/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=371&cropY2=1115
1003,Richard,Peery,79,2.5 BUSD,Male,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/5877c684a7ea431d601ca180/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=371&cropY2=1115
1004,Horst,Pudwill,73,2.5 BUSD,Male,Manufacturing  ==> manufacturing,Germany,https://specials-images.forbesimg.com/imageserve/aa4cf87b8afef94365eef79e8649f904/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=97&cropY2=841
1005,P.v.,Reddy,60,2.5 BUSD,Male,Healthcare  ==> pharmaceuticals,India,https://specials-images.forbesimg.com/imageserve/d0be2e909f95f43c7f8c70b9d4c8d3cd/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=71&cropY2=812
1006,Larry,Robbins,48,2.5 BUSD,Male,Finance and Investments  ==> hedge funds,United States,https://specials-images.forbesimg.com/imageserve/5ac958a4a7ea432fbc1e59cf/416x416.jpg?background=000000&cropX1=731&cropX2=1937&cropY1=417&cropY2=1623
1007,Carlos,Sanchez,56,2.5 BUSD,Male,Healthcare  ==> generic drugs,Brazil,https://specials-images.forbesimg.com/imageserve/58a0f626a7ea431f32195be9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=29&cropY2=773
1008,Stephan,Schmidheiny,70,2.5 BUSD,Male,Finance and Investments  ==> investments,Switzerland,https://specials-images.forbesimg.com/imageserve/58a2932931358e1a35ab549d/416x416.jpg?background=000000&cropX1=21&cropX2=744&cropY1=58&cropY2=782
1009,Klaus-peter,Schulenberg,0,2.5 BUSD,Male,Service  ==> ticketing service,Germany,https://specials-images.forbesimg.com/imageserve/58c84fd631358e1a35acffa9/416x416.jpg?background=000000&cropX1=100&cropX2=593&cropY1=305&cropY2=798
1010,Charles,Simonyi,69,2.5 BUSD,Not Available,Technology  ==> Microsoft,United States,https://specials-images.forbesimg.com/imageserve/59de6f2ca7ea436b47b3b815/416x416.jpg?background=000000&cropX1=431&cropX2=3552&cropY1=490&cropY2=3612
1011,Mark,Stevens,58,2.5 BUSD,Male,Finance and Investments  ==> venture capital,United States,https://specials-images.forbesimg.com/imageserve/5a8372604bbe6f2652f5804d/416x416.jpg?background=000000&cropX1=422&cropX2=1553&cropY1=69&cropY2=1200
1012,Sze,Sze,68,2.5 BUSD,Not Available,Manufacturing  ==> hygiene products,China,https://specials-images.forbesimg.com/imageserve/c3653c28ec41a0342432ee78a9d95c46/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747
1013,Sarik,Tara,88,2.5 BUSD,Male,Construction & Engineering  ==> construction,Turkey,https://specials-images.forbesimg.com/imageserve/28f7c01c2c198bc19d280c59ef9bb4df/416x416.jpg?background=000000&cropX1=125&cropX2=537&cropY1=66&cropY2=478
1014,Lottie,Tham,69,2.5 BUSD,Female,Fashion & Retail  ==> H&M,Sweden,https://specials-images.forbesimg.com/imageserve/5a811f62a7ea4316901340b1/416x416.jpg?background=000000&cropX1=275&cropX2=1245&cropY1=172&cropY2=1142
1015,Peter,Thiel,50,2.5 BUSD,Male,"Finance and Investments  ==> Facebook, Palantir",United States,https://specials-images.forbesimg.com/imageserve/5a836fff31358e4955ad6549/416x416.jpg?background=000000&cropX1=234&cropX2=790&cropY1=7&cropY2=563
1016,Elaine,Wynn,76,2.5 BUSD,Female,"Gambling & Casinos  ==> casinos, hotels",United States,https://specials-images.forbesimg.com/imageserve/59de488331358e542c039b45/416x416.jpg?background=000000&cropX1=861&cropX2=3510&cropY1=741&cropY2=3391
1017,Denise,York,67,2.5 BUSD,Not Available,Sports  ==> San Francisco 49ers,United States,https://specials-images.forbesimg.com/imageserve/5a8df2664bbe6f2652f62bf3/416x416.jpg?background=000000&cropX1=1836&cropX2=2674&cropY1=999&cropY2=1837
1018,David,Zalik,44,2.5 BUSD,Not Available,Technology  ==> technology,United States,https://specials-images.forbesimg.com/imageserve/59e786c6a7ea436b47b40253/416x416.jpg?background=000000&cropX1=1440&cropX2=2563&cropY1=1140&cropY2=2263
1019,Zhao,Zhao,52,2.5 BUSD,Not Available,Healthcare  ==> pharmaceuticals,Singapore,https://specials-images.forbesimg.com/imageserve/5a80f59c4bbe6f2652f543c3/416x416.jpg?background=000000&cropX1=315&cropX2=2923&cropY1=563&cropY2=3172
1020,George,Argyros,81,2.4 BUSD,Male,"Real Estate  ==> real estate, investments",United States,https:http://specials-images.forbesimg.com/imageserve/57e191fb4bbe6f6781c52f34/416x416.jpg?background=000000&cropX1=8&cropX2=744&cropY1=216&cropY2=952
1021,John,Arrillaga,81,2.4 BUSD,Not Available,Real Estate  ==> real estate,United States,https://specials-images.forbesimg.com/imageserve/945fe0ddbac172f5cc502aa692162731/416x416.jpg?background=000000&cropX1=156&cropX2=668&cropY1=39&cropY2=551
1022,Charles,Bronfman,86,2.4 BUSD,Not Available,Food and Beverage  ==> liquor,Canada,https://specials-images.forbesimg.com/imageserve/5a7ba389a7ea43169012f184/416x416.jpg?background=000000&cropX1=351&cropX2=2455&cropY1=0&cropY2=2103
1023,Peter,Buck,87,2.4 BUSD,Not Available,Food and Beverage  ==> Subway sandwich shops,United States,https://specials-images.forbesimg.com/imageserve/d49004dde899836482456b533a9e22d9/416x416.jpg?background=000000&cropX1=159&cropX2=612&cropY1=47&cropY2=500
1024,Chen,Chen,50,2.4 BUSD,Female,Finance and Investments  ==> investments,China,https://specials-images.forbesimg.com/imageserve/d49004dde899836482456b533a9e22d9/416x416.jpg?background=000000&cropX1=159&cropX2=612&cropY1=47&cropY2=500
1025,Vivien,Chen,59,2.4 BUSD,Female,Real Estate  ==> real estate,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a57a8af4bbe6f2652f25345/416x416.jpg?background=000000&cropX1=28&cropX2=239&cropY1=1&cropY2=212
1026,Chu,Chu,48,2.4 BUSD,Female,Manufacturing  ==> flavorings,Hong Kong,https://specials-images.forbesimg.com/imageserve/913c271ffb6af89c53465bf2b73b8992/416x416.jpg?background=000000&cropX1=34&cropX2=623&cropY1=0&cropY2=590
1027,Jean,Coutu,91,2.4 BUSD,Male,Fashion & Retail  ==> drugstores,Canada,https://specials-images.forbesimg.com/imageserve/5a7badf34bbe6f2652f4f383/416x416.jpg?background=000000&cropX1=3&cropX2=1249&cropY1=420&cropY2=1666
