Position,Worth,Name,Age,Source,Country,Gender_cat
161,9.5 BUSD,Zong Qinghou,72,Food and Beverage  ==> beverages,None,Male
162,9.4 BUSD,Eyal Ofer,68,"Diversified  ==> real estate, shipping",Israel,Male
163,9.4 BUSD,Charles Schwab,80,Finance and Investments  ==> discount brokerage,None,Not Available
164,9.3 BUSD,Gianluigi & Rafaela Aponte,77,Logistics  ==> Shipping,None,Male
165,9.3 BUSD,"Herbert Kohler, Jr.",79,Manufacturing  ==> plumbing fixtures,None,Male
166,9.3 BUSD,Viktor Rashnikov,69,Manufacturing  ==> steel,None,Not Available
167,9.2 BUSD,Harry Triguboff,85,Real Estate  ==> real estate,None,Male
168,9.2 BUSD,August Von Finck,88,Finance and Investments  ==> investments,Germany,Not Available
169,9.2 BUSD,Yao Zhenhua,48,Diversified  ==> conglomerate,None,Not Available
170,9.1 BUSD,Jan Koum,42,Technology  ==> WhatsApp,United States,Male
171,9.1 BUSD,Cyrus Poonawalla,77,Healthcare  ==> vaccines,None,Male
172,9.0 BUSD,James Goodnight,75,Technology  ==> software,United States,Male
173,9.0 BUSD,Ken Griffin,49,Finance and Investments  ==> hedge funds,United States,Not Available
174,8.9 BUSD,Giorgio Armani,83,Fashion & Retail  ==> luxury goods,Italy,Male
175,8.9 BUSD,Ernesto Bertarelli,52,"Healthcare  ==> biotech, investments",Switzerland,Male
176,8.8 BUSD,Savitri Jindal,68,Metals & Mining  ==> steel,None,Not Available
177,8.8 BUSD,Sunil Mittal,60,Telecom  ==> telecom,None,Not Available
178,8.7 BUSD,James Chambers,61,Media & Entertainment  ==> media,None,Not Available
179,8.7 BUSD,Katharine Rayner,73,Media & Entertainment  ==> media,United States,Female
180,8.7 BUSD,Margaretta Taylor,76,Media & Entertainment  ==> media,None,Female
181,8.5 BUSD,Terry Gou,67,Technology  ==> electronics,None,Not Available
182,8.5 BUSD,Gordon Moore,89,Technology  ==> Intel,United States,Male
183,8.3 BUSD,James Irving,90,Diversified  ==> diversified,Canada,Not Available
184,8.3 BUSD,Stanley Kroenke,70,"Sports  ==> sports, real estate",None,Male
185,8.2 BUSD,Melker Schorling,71,Finance and Investments  ==> investments,None,Male
186,8.1 BUSD,Johann Graf,71,Gambling & Casinos  ==> gambling,Austria,Male
187,8.1 BUSD,Guo Guangchang,51,Diversified  ==> conglomerate,None,Male
188,8.1 BUSD,John Malone,77,Media & Entertainment  ==> cable television,None,Male
189,8.1 BUSD,Xavier Niel,50,"Telecom  ==> internet, telecom",None,Male
190,8.0 BUSD,Silvio Berlusconi,81,Diversified  ==> media,None,Not Available
191,8.0 BUSD,Carl Cook,55,Healthcare  ==> medical devices,None,Not Available
192,8.0 BUSD,David Geffen,75,"Media & Entertainment  ==> movies, record labels",United States,Male
193,8.0 BUSD,Hui Wing Mau,67,Real Estate  ==> real estate,None,Not Available
194,8.0 BUSD,Walter Kwok,67,Real Estate  ==> real estate,None,Male
195,8.0 BUSD,George Soros,87,Finance and Investments  ==> hedge funds,United States,Not Available
196,7.9 BUSD,"Edward Johnson, Iii.",87,Finance and Investments  ==> money management,United States,Male
197,7.9 BUSD,Massimiliana Landini Aleotti,75,Healthcare  ==> pharmaceuticals,Italy,Female
198,7.8 BUSD,David Duffield,77,Technology  ==> business software,None,Male
199,7.8 BUSD,George Kaiser,75,"Energy  ==> oil & gas, banking",United States,Not Available
200,7.8 BUSD,Patrick Soon-Shiong,65,Healthcare  ==> pharmaceuticals,None,Male
201,7.8 BUSD,Zhou Qunfei,48,Technology  ==> smartphone screens,None,Female
202,7.7 BUSD,Nicky Oppenheimer,73,Metals & Mining  ==> diamonds,None,Male
203,7.7 BUSD,Sun Piaoyang,59,Healthcare  ==> pharmaceuticals,None,Not Available
204,7.7 BUSD,Wu Yajun,54,Real Estate  ==> real estate,None,Female
205,7.6 BUSD,Alexei Kuzmichev,55,"Energy  ==> oil, banking, telecom",None,Not Available
206,7.6 BUSD,Stephen Ross,78,Real Estate  ==> real estate,None,Male
