id,lastName,age,Unnamed: 0_x,gender,country,image,Unnamed: 0_y,Source,worth,worthChange,realTimeWorth,realTimePosition,name,position,Unnamed: 0
7060,prEMJi,72 years old,110,Male,None,https://specials-images.forbesimg.com/imageserve/5a7f0e8231358e4955ad1813/416x416.jpg?background=000000&cropX1=979&cropX2=3562&cropY1=11&cropY2=2592,110,Technology  ==> software services,18.8 BUSD,0.0 millions USD,,71,aZIM PREMJI,59.0,110
6071,morDASHOV,52 years old,111,M,Russia,https://specials-images.forbesimg.com/imageserve/5a808e7a4bbe6f2652f53d31/416x416.jpg?background=000000&cropX1=846&cropX2=3515&cropY1=0&cropY2=2667,111,"Metals & Mining  ==> steel, investments",18.7 BUSD,0.0 millions USD,,60,alexey mORDASHOV,60.0,111
7377,lEE,76 years old,112,M,South Korea,https://specials-images.forbesimg.com/imageserve/58f8d8e84bbe6f1aff4612ef/416x416.jpg?background=000000&cropX1=0&cropX2=705&cropY1=31&cropY2=737,112,Diversified  ==> Samsung,18.6 BUSD,0.0 millions USD,,62,lee KUN-HEe,61.0,112
1002,miTTAl,68 years old,113,M,None,https://specials-images.forbesimg.com/imageserve/59cbfbf5a7ea434a34f46a72/416x416.jpg?background=000000&cropX1=15&cropX2=2362&cropY1=10&cropY2=2359,113,Metals & Mining  ==> steel,18.5 BUSD,0.001 millions USD,,63,lAKSHMI MITTAL,62.0,113
9979,wANG,48 years old,114,M,China,https://specials-images.forbesimg.com/imageserve/5a7cf9f7a7ea431690130d30/416x416.jpg?background=000000&cropX1=1243&cropX2=2927&cropY1=150&cropY2=1834,114,Service  ==> package delivery,18.2 BUSD,0.0 millions USD,,64,wANG WEI,63.0,114
5075,miKHELSON,62 years old,115,M,None,https://specials-images.forbesimg.com/imageserve/5a80ab314bbe6f2652f53efa/416x416.jpg?background=000000&cropX1=654&cropX2=3172&cropY1=5&cropY2=2522,115,"Energy  ==> gas, chemicals",18.0 BUSD,0.0 millions USD,,59,leonID MIKHElson,64.0,115
1104,siRIVADHANABHAKDI,74 years old,116,M,None,https://specials-images.forbesimg.com/imageserve/58a2956ca7ea431f321976b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=85&cropY2=829,116,"Food and Beverage  ==> drinks, real estate",17.9 BUSD,0.0 millions USD,,87,cHAROEN SIRIVADHANABHAkdi,65.0,116
7817,miSTRy,89 years old,117,M,Ireland,https://specials-images.forbesimg.com/imageserve/222dbe79a423261046cbdb42ac70e16b/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=3&cropY2=744,117,Construction & Engineering  ==> construction,17.8 BUSD,0.0 millions USD,,57,pallonjI MIStry,66.0,117
4596,dALIO,68 years old,118,Male,United States,https://specials-images.forbesimg.com/imageserve/5ac959f74bbe6f2310f1e05c/416x416.jpg?background=000000&cropX1=777&cropX2=3143&cropY1=114&cropY2=2478,118,Finance and Investments  ==> hedge funds,17.7 BUSD,0.0 millions USD,,68,raY DALio,67.0,118
2325,tAKIZAKi,73 years old,119,Male,None,https://specials-images.forbesimg.com/imageserve/5a0a24205655325303469e7ab36397dc/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=116&cropY2=860,119,Manufacturing  ==> sensors,17.5 BUSD,0.0 millions USD,,65,TAKEMITSU TAKIZAKI,68.0,119
5306,DING,46 years old,120,M,None,https://specials-images.forbesimg.com/imageserve/5a7d09364bbe6f2652f51155/416x416.jpg?background=000000&cropX1=4&cropX2=1672&cropY1=396&cropY2=2063,120,Technology  ==> online games,17.4 BUSD,0.0 millions USD,,80,WILLIAM DINg,69.0,120
5529,hARTOno,77 years old,121,M,Indonesia,https://specials-images.forbesimg.com/imageserve/b8d46ef97d58d450be629bd0fddc9a6e/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=10&cropY2=754,121,"Finance and Investments  ==> banking, tobacco",17.4 BUSD,0.0 millions USD,,91,r. bUDI HARTONo,70.0,121
1783,rinEHART,64 years old,122,Female,Australia,https://specials-images.forbesimg.com/imageserve/59f73f7831358e542c046b65/416x416.jpg?background=000000&cropX1=211&cropX2=1123&cropY1=82&cropY2=995,122,Metals & Mining  ==> mining,17.4 BUSD,-1.2570000000000001 millions USD,,66,gina RINEHart,71.0,122
3712,larrea mOTA VElasco,64 years old,123,M,None,https://specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,123,Metals & Mining  ==> mining,17.3 BUSD,0.0 millions USD,,86,german LARREA MOTA velasco,72.0,123
5531,iCAHn,82 years old,124,M,None,https://specials-images.forbesimg.com/imageserve/57e5739ca7ea430a8a1a2b8f/416x416.jpg?background=000000&cropX1=74&cropX2=744&cropY1=74&cropY2=744,124,Finance and Investments  ==> investments,16.8 BUSD,0.0 millions USD,,58,caRL ICAHN,73.0,124
6770,pERSSON,70 years old,125,None,None,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,125,Fashion & Retail  ==> H&M,16.8 BUSD,0.0 millions USD,,78,stefan PERSSon,74.0,125
5569,haRTOno,78 years old,126,None,None,https://specials-images.forbesimg.com/imageserve/5a8121d54bbe6f2652f545f0/416x416.jpg?background=000000&cropX1=599&cropX2=2597&cropY1=15&cropY2=2015,126,"Manufacturing  ==> banking, tobacco",16.7 BUSD,0.0 millions USD,,102,michaeL HARTONO,75.0,126
7673,lAU,66 years old,127,M,None,https://specials-images.forbesimg.com/imageserve/5a7e6ca6a7ea431690132547/416x416.jpg?background=000000&cropX1=125&cropX2=1076&cropY1=81&cropY2=1033,127,Real Estate  ==> real estate,16.7 BUSD,-0.001 millions USD,,73,josePH LAU,76.0,127
3303,KWOK,,128,M,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579cfd4bbe6f2652f2517c/416x416.jpg?background=000000&cropX1=152&cropX2=1061&cropY1=6&cropY2=915,128,Real Estate  ==> real estate,16.5 BUSD,0.0 millions USD,,75,THOMAS & RAYMONd kwok,77.0,128
9414,alekPErov,67 years old,129,M,Russia,https://specials-images.forbesimg.com/imageserve/5a80c400a7ea431690133cb7/416x416.jpg?background=000000&cropX1=481&cropX2=2139&cropY1=0&cropY2=1658,129,Energy  ==> oil,16.4 BUSD,0.0 millions USD,,69,vagit ALEkperov,78.0,129
3173,rATCLIFFE,65 years old,130,M,None,https://specials-images.forbesimg.com/imageserve/5a815b254bbe6f2652f547e0/416x416.jpg?background=000000&cropX1=252&cropX2=2046&cropY1=814&cropY2=2608,130,Manufacturing  ==> chemicals,16.4 BUSD,0.0 millions USD,,89,JAMES RATCLiffe,79.0,130
6648,brEN,86 years old,131,None,United States,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556,131,Real Estate  ==> real estate,16.3 BUSD,0.0 millions USD,,76,donalD Bren,80.0,131
5914,fonTBONA,75 years old,132,F,None,https://specials-images.forbesimg.com/imageserve/57e575c94bbe6f24d1f891ce/416x416.jpg?background=000000&cropX1=126&cropX2=651&cropY1=31&cropY2=556,132,Metals & Mining  ==> mining,16.3 BUSD,0.0 millions USD,,70,iriS FONTbona,81.0,132
5549,TIMCHENko,65 years old,133,M,None,https://specials-images.forbesimg.com/imageserve/5a80a596a7ea431690133b09/416x416.jpg?background=000000&cropX1=5&cropX2=2533&cropY1=460&cropY2=2990,133,"Energy  ==> oil, gas",16.0 BUSD,0.0 millions USD,,74,gennady TIMCHENKo,82.0,133
7352,joHNSOn,56 years old,134,None,United States,https:http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621,134,Finance and Investments  ==> money management,15.9 BUSD,0.0 millions USD,,72,abiGAIL JOHNSOn,83.0,134
1949,poTANIn,57 years old,135,None,None,https://specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181,135,Metals & Mining  ==> metals,15.9 BUSD,0.0 millions USD,,82,vlADIMIR POTAnin,84.0,135
5249,wALTON,1988,136,Male,United States,https://specials-images.forbesimg.com/imageserve/5a80c98d31358e4955ad2cc0/416x416.jpg?background=000000&cropX1=75&cropX2=2250&cropY1=5&cropY2=2181,136,Fashion & Retail  ==> Walmart,15.9 BUSD,0.0 millions USD,,101,lUKAS WALTON,85.0,136
7180,de carvaLHO-heineken,63 years old,137,None,None,https://specials-images.forbesimg.com/imageserve/5a7fd414a7ea4316901331b7/416x416.jpg?background=000000&cropX1=0&cropX2=3280&cropY1=887&cropY2=4168,137,Food and Beverage  ==> Heineken,15.8 BUSD,0.0 millions USD,,81,charlENE DE CARVALHO-heineken,86.0,137
