ID,Position,Worth,First Name,Last Name,Age,Gender_cat,Source,Country,Image,Nationality,name,country
9034,1634,1.5 BUSD,Ning,Tang,44,Male,Finance and Investments  ==> online lending,China,https://specials-images.forbesimg.com/imageserve/2c9342e6b6c03eec93a23ec68d9abad9/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=47&cropY2=791,,Ning Tang,China
9415,1635,1.5 BUSD,Jim,Thompson,78,Male,Logistics  ==> logistics,United States,https://specials-images.forbesimg.com/imageserve/56d1b782e4b0c144a7f6639a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=21&cropY2=765,,Jim Thompson,United States
1633,1636,1.5 BUSD,Jonathan,Tisch,64,Male,"Diversified  ==> insurance, NFL team",United States,https://specials-images.forbesimg.com/imageserve/56d1b782e4b0c144a7f6639a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=21&cropY2=765,,Jonathan Tisch,United States
2053,1637,1.5 BUSD,Kenneth,Tuchman,58,Male,Service  ==> outsourcing,United States,https://specials-images.forbesimg.com/imageserve/56d1b782e4b0c144a7f6639a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=21&cropY2=765,,Kenneth Tuchman,United States
1989,1638,1.5 BUSD,Wim,Van der leegte,70,Not Available,Manufacturing  ==> manufacturing,Netherlands,https://specials-images.forbesimg.com/imageserve/5a7fd6efa7ea431690133217/416x416.jpg?background=000000&cropX1=375&cropX2=1115&cropY1=62&cropY2=802,,Wim van der Leegte,Netherlands
2991,1639,1.5 BUSD,Shamsheer,Vayalil,41,Male,Healthcare  ==> healthcare,India,https://specials-images.forbesimg.com/imageserve/59cc1beea7ea434a34f46d83/416x416.jpg?background=000000&cropX1=0&cropX2=426&cropY1=19&cropY2=445,,Shamsheer Vayalil,India
1682,1640,1.5 BUSD,Thongma,Vijitpongpun,60,Male,Real Estate  ==> real estate,Thailand,https://specials-images.forbesimg.com/imageserve/5af9bd6031358e612fb8f036/416x416.jpg?background=000000&cropX1=130&cropX2=760&cropY1=258&cropY2=887,,Thongma Vijitpongpun,Thailand
9322,1641,1.5 BUSD,Arkady,Volozh,54,Male,Media & Entertainment  ==> search engine,Russia,https://specials-images.forbesimg.com/imageserve/5a809e99a7ea431690133a8d/416x416.jpg?background=000000&cropX1=216&cropX2=1841&cropY1=7&cropY2=1631,,Arkady Volozh,Russia
8331,1642,1.5 BUSD,Stefan,Von holtzbrinck,55,Male,Media & Entertainment  ==> publishing,Germany,https://specials-images.forbesimg.com/imageserve/4006b43466dcb630d585decf47bbcc89/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=131&cropY2=875,,Stefan von Holtzbrinck,Germany
2567,1643,1.5 BUSD,Wang,Wang,54,Not Available,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/4006b43466dcb630d585decf47bbcc89/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=131&cropY2=875,,Wang Jiufang,China
7150,1644,1.5 BUSD,Wong,Wong,56,Not Available,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/4006b43466dcb630d585decf47bbcc89/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=131&cropY2=875,,Wong Hong King,China
6610,1645,1.5 BUSD,Ian,Wood,75,Not Available,Energy  ==> energy services,United Kingdom,https://specials-images.forbesimg.com/imageserve/56cc68ace4b062f6b59a5100/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747,,Ian Wood,United Kingdom
7267,1646,1.5 BUSD,Xiao,Xiao,50,Male,Real Estate  ==> real estate,China,https://specials-images.forbesimg.com/imageserve/56cc68ace4b062f6b59a5100/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747,,Xiao Chunhong,China
6182,1647,1.5 BUSD,Jacky,Xu,46,Male,Fashion & Retail  ==> apparel,St. Kitts and Nevis,https://specials-images.forbesimg.com/imageserve/56cc68ace4b062f6b59a5100/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747,,Jacky Xu,St. Kitts and Nevis
7616,1648,1.5 BUSD,Zhang,Zhang,63,Male,"Diversified  ==> oil, banking",China,https://specials-images.forbesimg.com/imageserve/56cc68ace4b062f6b59a5100/416x416.jpg?background=000000&cropX1=3&cropX2=744&cropY1=6&cropY2=747,,Zhang Hongwei,China
7084,1649,1.5 BUSD,Zhang,Zhang,45,Male,Fashion & Retail  ==> e-commerce,China,https://specials-images.forbesimg.com/imageserve/5a875da14bbe6f2652f5cc16/416x416.jpg?background=000000&cropX1=790&cropX2=3782&cropY1=244&cropY2=3234,,Zhang Tao,China
